日期,空壓機,冷氣_15T_,冷氣_20T_,電梯,對面廠房鍋爐,對面廠房軋紙機,對面廠房浪紙機,五色印刷機,空壓機_2_,水箱印刷冷卻機,成形機2台,覆膜機兩台,自動軋紙機2,自動軋紙機3,隔壁間冷氣,裁紙機,UV_IR機,六色印刷機,冷氣機2台__第一台_,冷氣機2台__第二台_,T_10T冷氣機,四色機
0.0,215.848,219.645,236.023,5.065,0.0,41.591,83.689,535.9,184.216,141.817,70.323,205.476,616.983,28.896,92.732,6.841,475.545,675.776,156.077,236.952,166.421,437.023
0.0,129.46,145.245,0.0,0.001,0.0,0.0,0.0,61.029,72.553,0.0,51.643,70.245,212.212,0.0,39.213,0.0,87.851,97.763,0.0,0.0,0.0,215.433
0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,50.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.907,72.955,0.0,0.0,0.0,191.031
0.0,204.975,196.976,236.071,8.881,0.0,33.947,109.773,529.203,147.424,115.876,21.321,166.405,546.639,30.901,62.175,7.867,562.079,727.167,143.847,218.725,143.712,487.767
0.0,25.565,4.783,0.0,1.076,0.0,0.0,0.0,67.891,4.328,0.0,0.0,5.087,28.613,0.0,0.0,0.0,91.273,87.324,0.0,0.0,0.0,226.949
0.0,209.543,272.461,241.341,11.595,0.001,36.656,83.507,605.107,161.108,122.033,26.367,179.793,679.407,75.841,89.751,3.328,444.459,727.779,151.364,236.836,150.912,411.187
0.0,217.316,227.905,240.857,7.528,0.0,32.071,83.072,369.476,131.928,109.565,37.904,160.189,631.183,48.332,91.529,2.424,393.108,615.188,122.615,192.2,135.728,431.364
0.0,198.941,278.867,336.528,8.505,0.0,36.068,83.136,329.563,154.361,131.912,62.509,171.396,619.129,64.859,90.855,2.58,364.169,567.732,122.596,197.076,162.68,354.807
0.0,142.456,130.356,0.0,2.513,0.0,0.0,0.0,61.635,70.576,0.0,35.92,82.8,219.949,4.529,29.001,0.0,87.777,117.409,0.001,0.0,0.0,214.007
0.0,0.0,1.3,0.0,1.269,0.0,0.0,0.0,47.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.305,70.764,0.0,0.0,0.0,181.8
0.0,210.732,250.219,239.575,12.04,0.0,37.705,82.624,400.921,142.448,115.733,69.789,161.313,566.856,50.841,82.863,2.912,343.655,599.309,111.613,214.299,134.879,225.591
0.0,202.739,286.653,240.079,9.944,0.0,23.811,83.107,501.092,166.523,139.939,36.779,183.868,577.564,35.931,74.704,5.335,378.977,680.329,131.068,194.321,165.731,385.676
0.0,214.469,226.077,236.321,9.677,0.0,0.0,84.177,466.311,127.848,108.115,51.665,146.612,584.668,60.267,74.661,4.073,333.652,597.241,117.283,190.375,137.348,434.425
0.0,209.647,211.257,332.205,8.72,0.0,31.903,89.14,416.904,129.781,106.268,75.38,150.815,638.508,73.672,69.793,10.535,337.345,691.235,116.051,189.509,131.677,407.968
0.0,224.269,249.987,300.567,6.531,0.0,59.621,81.915,438.723,166.587,130.82,77.328,182.447,652.885,64.468,75.695,7.504,601.116,777.153,164.396,231.315,162.255,455.364
0.0,127.711,1.303,151.752,1.265,0.0,0.0,0.0,55.092,0.0,0.0,47.497,8.915,221.036,33.479,29.772,0.0,84.475,76.024,0.0,0.0,0.0,203.273
0.0,0.0,0.984,0.0,0.852,0.0,0.0,0.0,56.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.689,76.604,0.0,0.0,0.0,208.055
0.0,214.724,289.417,261.36,8.457,0.0,53.493,81.096,539.517,175.001,141.979,2.185,185.704,545.852,52.025,80.759,4.537,567.051,1039.001,168.512,261.435,190.943,513.024
0.0,225.501,218.669,275.272,6.744,0.0,26.901,55.512,453.868,129.123,75.343,4.04,142.504,556.693,43.371,40.492,18.209,240.344,304.928,106.572,189.104,128.823,349.399
0.0,149.703,216.284,0.0,2.835,0.0,0.0,0.0,661.74,141.332,112.828,4.521,153.691,319.055,3.912,58.748,3.505,463.503,666.363,125.688,206.48,134.001,326.157
0.0,164.069,188.871,0.0,1.055,0.0,0.0,0.0,581.899,128.064,105.667,3.325,135.863,282.637,0.0,35.08,3.2,428.328,596.069,113.543,184.747,121.685,464.739
0.0,216.884,182.028,279.979,11.039,0.0,0.0,0.0,406.773,129.291,104.119,3.117,147.688,556.341,70.18,40.159,15.501,428.445,550.957,88.721,182.208,126.54,456.128
0.0,168.244,0.001,0.0,2.177,0.0,0.0,0.0,47.088,0.0,0.0,0.033,6.023,251.593,0.0,29.512,0.0,77.143,69.688,0.0,0.0,0.0,175.173
0.0,0.0,0.0,0.0,0.939,0.0,0.0,0.0,48.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.431,71.423,0.0,0.0,0.0,183.832
0.0,233.66,258.08,202.525,6.684,0.0,0.0,0.132,496.615,166.86,140.867,0.216,188.293,534.464,31.768,70.341,8.652,441.889,782.125,137.488,210.583,172.775,493.077
0.0,228.207,252.367,279.2,8.223,0.0,0.0,0.0,707.236,172.331,143.532,34.439,189.944,567.751,49.083,70.808,5.329,469.625,782.279,149.711,244.917,166.16,482.075
0.0,249.155,228.171,243.489,14.731,0.0,0.0,0.0,529.429,170.921,114.332,81.464,183.26,610.841,65.533,78.412,11.46,423.527,704.628,93.2,248.501,149.351,593.501
0.0,0.0,0.059,0.0,0.295,0.0,0.0,0.0,46.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.193,72.492,0.0,0.0,0.0,182.377
0.0,235.263,182.328,214.745,7.689,0.0,0.076,1.32,625.243,146.336,118.735,82.895,163.483,617.103,84.871,79.012,9.852,497.369,722.697,46.121,186.227,141.229,586.671
0.0,168.371,193.075,179.585,4.653,0.0,0.0,0.0,750.513,135.716,93.883,35.293,144.391,364.751,51.595,57.904,4.681,431.429,654.539,121.823,201.865,112.845,424.697
0.0,0.0,1.317,0.0,1.015,0.0,0.0,0.0,50.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.555,72.468,0.0,0.0,0.0,190.255
0.0,236.673,248.731,243.209,7.075,0.0,0.0,0.0,627.925,168.692,119.657,7.599,186.239,635.709,90.259,74.033,10.167,447.867,735.881,149.788,249.656,141.611,385.603
0.0,211.773,299.091,260.375,7.932,0.0,0.0,0.095,833.739,172.12,139.395,27.221,182.663,586.513,84.633,37.976,11.675,581.025,831.908,168.987,258.171,177.333,458.931
0.0,233.879,285.905,283.051,12.043,0.0,0.0,1.753,567.683,173.02,120.076,52.017,189.047,630.313,74.224,41.136,7.144,469.416,728.117,151.26,256.825,181.8,523.116
0.0,159.799,177.919,199.84,5.389,0.0,0.0,0.0,320.375,109.908,86.925,22.256,119.132,414.667,54.197,38.444,1.655,242.868,484.896,50.877,104.435,90.695,321.439
0.0,226.528,300.767,268.633,4.512,0.0,0.0,0.0,577.124,173.743,134.537,0.267,184.423,563.996,71.587,64.556,1.793,420.395,589.101,45.109,65.113,132.261,397.948
0.0,145.396,159.772,186.685,4.495,0.0,0.0,0.0,641.471,133.564,112.585,0.04,137.788,327.293,50.288,29.181,0.051,421.345,306.349,23.043,32.972,81.839,415.3
0.0,0.0,1.477,0.0,1.008,0.0,0.0,0.0,50.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.885,81.471,0.0,0.0,0.0,191.147
0.0,216.003,257.107,279.685,5.392,0.0,0.0,0.748,668.703,186.287,130.951,0.093,201.92,569.335,75.7,70.999,0.223,503.573,507.603,25.116,46.568,52.988,416.361
0.0,229.461,237.196,213.607,9.064,0.0,0.0,0.255,569.361,175.92,141.44,0.112,194.356,575.652,69.675,80.291,2.225,444.859,592.955,45.9,99.785,131.145,463.811
0.0,219.235,324.084,146.199,8.039,0.0,0.0,0.0,641.231,185.517,144.448,0.089,203.309,524.888,71.853,68.304,12.629,543.649,745.509,41.932,139.44,98.199,470.181
0.0,235.5,340.229,0.0,13.937,0.0,0.396,1.163,663.224,192.251,148.992,0.153,209.865,565.229,82.3,73.952,9.356,608.901,970.304,107.92,239.823,134.06,518.041
0.0,214.112,341.955,373.689,13.444,0.0,0.0,1.707,754.383,217.396,166.109,77.727,236.889,545.5,45.505,83.249,19.355,658.535,1074.808,180.121,303.255,177.697,397.461
0.0,193.556,200.184,289.785,7.989,0.0,0.0,0.0,492.624,180.997,147.781,62.928,194.413,386.167,67.081,11.267,0.0,486.408,1002.335,103.141,157.736,171.056,414.512
0.0,0.0,1.123,0.0,1.237,0.0,0.0,0.0,48.383,37.568,44.043,0.0,35.527,0.0,0.001,0.0,0.0,81.277,142.749,0.0,0.0,40.973,185.921
0.0,227.095,292.021,358.897,14.793,0.0,0.0,2.08,801.077,189.163,146.713,78.745,201.065,550.457,73.688,52.712,12.648,684.132,1038.52,169.824,271.444,191.341,489.592
0.0,237.337,333.383,367.048,15.076,0.0,0.0,5.389,790.688,191.987,123.6,77.212,204.988,592.001,78.387,83.963,9.607,604.017,883.513,103.203,273.86,114.055,461.781
0.0,246.147,312.795,285.499,15.203,0.0,0.0,0.632,583.051,190.383,154.303,8.491,201.789,595.369,92.261,51.177,10.381,502.415,913.744,111.695,233.875,169.949,389.756
0.0,0.0,2.533,0.0,1.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.12,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.665
0.0,246.736,232.471,369.009,15.684,0.0,0.663,1.112,525.289,189.304,131.245,0.125,201.361,601.677,82.155,31.735,8.643,607.641,901.079,148.645,247.781,188.195,415.956
0.0,221.12,224.805,363.703,8.899,0.0,0.0,0.0,623.96,173.927,45.711,0.069,188.619,434.175,85.281,0.0,7.977,499.808,887.645,133.137,236.225,155.503,379.599
0.0,132.851,141.269,0.0,3.008,0.0,0.0,0.0,352.305,119.192,0.0,0.0,115.556,187.18,43.275,0.0,0.055,71.253,92.261,65.287,109.552,29.431,0.0
0.0,240.296,303.893,365.732,14.423,0.0,0.175,0.724,684.211,185.243,152.583,0.047,200.632,601.493,77.736,79.772,2.335,554.297,948.137,118.971,270.717,144.845,423.837
0.0,224.984,295.475,236.327,16.103,0.0,0.0,0.987,623.088,189.412,154.711,0.036,201.129,568.071,89.697,51.54,9.147,530.448,951.635,58.217,261.039,99.307,421.669
0.0,243.741,242.793,92.691,15.891,0.0,0.0,0.08,730.144,185.019,125.296,0.141,198.125,538.829,85.323,36.213,26.343,563.223,861.401,6.867,254.607,70.289,408.745
0.0,229.097,231.628,0.0,15.233,0.0,0.0,0.297,710.449,181.661,127.028,0.157,195.38,467.705,77.92,10.291,19.905,461.665,781.877,57.779,253.884,135.221,442.365
