Dependent Variable,Independent Variable,Coefficient,P-Value,H0 Rejected,R-squared
A001_13_財5軋盒機,A001_6_東2軋盒機,0.03926010239195371,,No,1.0
A001_13_財5軋盒機,A001_7_裱紙機,0.09033553098062319,,No,1.0
A001_13_財5軋盒機,A001_8_五色印刷機,0.01622474873926713,,No,1.0
A001_13_財5軋盒機,A001_9_2號覆膜機,0.28603872309575834,,No,1.0
A001_13_財5軋盒機,A001_10_財4軋盒機,-0.03031533945930217,,No,1.0
A001_13_財5軋盒機,A001_11_譽邦糊盒機,0.06725760295768335,,No,1.0
A001_13_財5軋盒機,A001_12_1號覆膜機,0.26088486800784316,,No,1.0
A001_13_財5軋盒機,A001_1_2941_117電箱,0.05434927433996706,,No,1.0
A001_13_財5軋盒機,A001_14_東1軋盒機,0.03458609991166979,,No,1.0
A001_13_財5軋盒機,A001_15_便當機,0.01605243438304957,,No,1.0
A001_13_財5軋盒機,A001_16_財順糊盒機,-0.06213268469102718,,No,1.0
A001_13_財5軋盒機,A001_17_UV_IR,-0.13027032054895898,,No,1.0
A001_13_財5軋盒機,A001_18_6色印刷機,0.1487025696466039,,No,1.0
A001_13_財5軋盒機,A001_19_文洪糊盒機,0.008758077322702153,,No,1.0
A001_13_財5軋盒機,A001_20_印刷空壓機,0.045870687400935695,,No,1.0
A001_13_財5軋盒機,A001_21_燙金機,-0.0004216119547932884,,No,1.0
A001_13_財5軋盒機,A001_22_四色印刷機,-0.18386481095613527,,No,1.0
A001_6_東2軋盒機,A001_13_財5軋盒機,0.036550487033872925,,No,1.0
A001_6_東2軋盒機,A001_7_裱紙機,0.17602403252488596,,No,1.0
A001_6_東2軋盒機,A001_8_五色印刷機,0.08630175503614013,,No,1.0
A001_6_東2軋盒機,A001_9_2號覆膜機,-0.22927903794538762,,No,1.0
A001_6_東2軋盒機,A001_10_財4軋盒機,0.01821100536721319,,No,1.0
A001_6_東2軋盒機,A001_11_譽邦糊盒機,-0.023773717375053405,,No,1.0
A001_6_東2軋盒機,A001_12_1號覆膜機,0.13330438016709484,,No,1.0
A001_6_東2軋盒機,A001_1_2941_117電箱,0.005221767448273296,,No,1.0
A001_6_東2軋盒機,A001_14_東1軋盒機,-0.01246872191453539,,No,1.0
A001_6_東2軋盒機,A001_15_便當機,0.1466203146496089,,No,1.0
A001_6_東2軋盒機,A001_16_財順糊盒機,-0.019872220998285367,,No,1.0
A001_6_東2軋盒機,A001_17_UV_IR,-0.07101121013306855,,No,1.0
A001_6_東2軋盒機,A001_18_6色印刷機,0.09258669085638366,,No,1.0
A001_6_東2軋盒機,A001_19_文洪糊盒機,0.007672835179194239,,No,1.0
A001_6_東2軋盒機,A001_20_印刷空壓機,-0.01653539324646444,,No,1.0
A001_6_東2軋盒機,A001_21_燙金機,0.06142388854799424,,No,1.0
A001_6_東2軋盒機,A001_22_四色印刷機,-0.10846680726593882,,No,1.0
A001_7_裱紙機,A001_13_財5軋盒機,0.12224207163003492,,No,1.0
A001_7_裱紙機,A001_6_東2軋盒機,0.2558540672651619,,No,1.0
A001_7_裱紙機,A001_8_五色印刷機,0.3294639372101532,,No,1.0
A001_7_裱紙機,A001_9_2號覆膜機,-0.0785457545355468,,No,1.0
A001_7_裱紙機,A001_10_財4軋盒機,0.018563429863360955,,No,1.0
A001_7_裱紙機,A001_11_譽邦糊盒機,-0.29949624648772627,,No,1.0
A001_7_裱紙機,A001_12_1號覆膜機,0.1068457587622818,,No,1.0
A001_7_裱紙機,A001_1_2941_117電箱,-0.11753270684460689,,No,1.0
A001_7_裱紙機,A001_14_東1軋盒機,-0.0023972477531331027,,No,1.0
A001_7_裱紙機,A001_15_便當機,0.22026787401736925,,No,1.0
A001_7_裱紙機,A001_16_財順糊盒機,-0.016372000562409283,,No,1.0
A001_7_裱紙機,A001_17_UV_IR,0.023576420066036358,,No,1.0
A001_7_裱紙機,A001_18_6色印刷機,0.045780287502414835,,No,1.0
A001_7_裱紙機,A001_19_文洪糊盒機,0.04434858181408524,,No,1.0
A001_7_裱紙機,A001_20_印刷空壓機,-0.2830306511230822,,No,1.0
A001_7_裱紙機,A001_21_燙金機,-0.31611390100603765,,No,1.0
A001_7_裱紙機,A001_22_四色印刷機,-0.3799181427335917,,No,1.0
A001_8_五色印刷機,A001_13_財5軋盒機,0.054118933194215124,,No,1.0
A001_8_五色印刷機,A001_6_東2軋盒機,0.30920686990472035,,No,1.0
A001_8_五色印刷機,A001_7_裱紙機,0.8121140641199087,,No,1.0
A001_8_五色印刷機,A001_9_2號覆膜機,0.207772873898745,,No,1.0
A001_8_五色印刷機,A001_10_財4軋盒機,0.08013104820444314,,No,1.0
A001_8_五色印刷機,A001_11_譽邦糊盒機,-0.24948906857180164,,No,1.0
A001_8_五色印刷機,A001_12_1號覆膜機,0.3239090932773756,,No,1.0
A001_8_五色印刷機,A001_1_2941_117電箱,0.3056951080901949,,No,1.0
A001_8_五色印刷機,A001_14_東1軋盒機,-0.03776090737439,,No,1.0
A001_8_五色印刷機,A001_15_便當機,0.16266301549332018,,No,1.0
A001_8_五色印刷機,A001_16_財順糊盒機,0.06832038459472012,,No,1.0
A001_8_五色印刷機,A001_17_UV_IR,-0.10940629365963828,,No,1.0
A001_8_五色印刷機,A001_18_6色印刷機,0.17689014477412623,,No,1.0
A001_8_五色印刷機,A001_19_文洪糊盒機,0.03196578116212501,,No,1.0
A001_8_五色印刷機,A001_20_印刷空壓機,-0.15181118735619492,,No,1.0
A001_8_五色印刷機,A001_21_燙金機,-0.20949398662535934,,No,1.0
A001_8_五色印刷機,A001_22_四色印刷機,1.3947255530960785,,No,1.0
A001_9_2號覆膜機,A001_13_財5軋盒機,0.8808015545058689,,No,1.0
A001_9_2號覆膜機,A001_6_東2軋盒機,-0.7583607583552875,,No,1.0
A001_9_2號覆膜機,A001_7_裱紙機,-0.17873675056494243,,No,1.0
A001_9_2號覆膜機,A001_8_五色印刷機,0.1918098216805313,,No,1.0
A001_9_2號覆膜機,A001_10_財4軋盒機,-0.24053658045640225,,No,1.0
A001_9_2號覆膜機,A001_11_譽邦糊盒機,0.17065271592504533,,No,1.0
A001_9_2號覆膜機,A001_12_1號覆膜機,0.3405149026318618,,No,1.0
A001_9_2號覆膜機,A001_1_2941_117電箱,-0.0350982061134469,,No,1.0
A001_9_2號覆膜機,A001_14_東1軋盒機,0.21358549860258147,,No,1.0
A001_9_2號覆膜機,A001_15_便當機,-0.7610351837295545,,No,1.0
A001_9_2號覆膜機,A001_16_財順糊盒機,-0.11999101980070166,,No,1.0
A001_9_2號覆膜機,A001_17_UV_IR,0.04152741523851616,,No,1.0
A001_9_2號覆膜機,A001_18_6色印刷機,-0.0701895961526936,,No,1.0
A001_9_2號覆膜機,A001_19_文洪糊盒機,0.018056751121964434,,No,1.0
A001_9_2號覆膜機,A001_20_印刷空壓機,0.05830194337981126,,No,1.0
A001_9_2號覆膜機,A001_21_燙金機,-0.7515404332044271,,No,1.0
A001_9_2號覆膜機,A001_22_四色印刷機,-0.07274607231360186,,No,1.0
